x,rho
-6.728515625,0.22835209824324
-6.708984375,0.23178412401628
-6.689453125,0.23520174997222
-6.669921875,0.23860283268728
-6.650390625,0.24198521146029
-6.630859375,0.24534671050405
-6.611328125,0.24868514118944
-6.591796875,0.25199830433909
-6.572265625,0.25528399256748
-6.552734375,0.25853999266422
-6.533203125,0.26176408801681
-6.513671875,0.26495406106959
-6.494140625,0.26810769581491
-6.474609375,0.2712227803129
-6.455078125,0.27429710923586
-6.435546875,0.27732848643314
-6.416015625,0.28031472751264
-6.396484375,0.28325366243454
-6.376953125,0.28614313811315
-6.357421875,0.28898102102243
-6.337890625,0.29176519980093
-6.318359375,0.29449358785178
-6.298828125,0.29716412593302
-6.279296875,0.29977478473414
-6.259765625,0.30232356743414
-6.240234375,0.30480851223662
-6.220703125,0.30722769487753
-6.201171875,0.30957923110099
-6.181640625,0.3118612790988
-6.162109375,0.31407204190922
-6.142578125,0.3162097697707
-6.123046875,0.31827276242608
-6.103515625,0.3202593713733
-6.083984375,0.3221680020582
-6.064453125,0.32399711600547
-6.044921875,0.32574523288369
-6.025390625,0.32741093250075
-6.005859375,0.32899285672556
-5.986328125,0.33048971133281
-5.966796875,0.33190026776692
-5.947265625,0.33322336482212
-5.927734375,0.33445791023512
-5.908203125,0.3356028821877
-5.888671875,0.33665733071589
-5.869140625,0.33762037902346
-5.849609375,0.33849122469679
-5.830078125,0.33926914081906
-5.810546875,0.3399534769814
-5.791015625,0.34054366018913
-5.771484375,0.3410391956613
-5.751953125,0.34143966752193
-5.732421875,0.34174473938171
-5.712890625,0.34195415480884
-5.693359375,0.34206773768825
-5.673828125,0.34208539246846
-5.654296875,0.3420071042955
-5.634765625,0.34183293903375
-5.615234375,0.3415630431736
-5.595703125,0.34119764362613
-5.576171875,0.34073704740513
-5.556640625,0.34018164119728
-5.537109375,0.3395318908211
-5.517578125,0.33878834057588
-5.498046875,0.33795161248184
-5.478515625,0.33702240541293
-5.458984375,0.3360014941241
-5.439453125,0.33488972817476
-5.419921875,0.33368803075071
-5.400390625,0.33239739738668
-5.380859375,0.331018894592
-5.361328125,0.32955365838211
-5.341796875,0.32800289271866
-5.322265625,0.32636786786125
-5.302734375,0.32464991863396
-5.283203125,0.32285044260992
-5.263671875,0.32097089821749
-5.244140625,0.31901280277155
-5.224609375,0.31697773043365
-5.205078125,0.31486731010483
-5.185546875,0.3126832232551
-5.166015625,0.31042720169363
-5.146484375,0.30810102528366
-5.126953125,0.30570651960653
-5.107421875,0.30324555357899
