x,rho
-3.66,0.000492144328833
-3.648,0.000514203974744
-3.636,0.000537175053071
-3.624,0.000561091517356
-3.612,0.000585988417931
-3.6,0.000611901930114
-3.588,0.000638869382826
-3.576,0.000666929287638
-3.564,0.000696121368221
-3.552,0.000726486590205
-3.54,0.000758067191429
-3.528,0.000790906712582
-3.516,0.000825050028217
-3.504,0.000860543378131
-3.492,0.000897434399094
-3.48,0.000935772156927
-3.468,0.000975607178899
-3.456,0.00101699148643
-3.444,0.00105997862813
-3.432,0.00110462371303
-3.42,0.00115098344418
-3.408,0.00119911615243
-3.396,0.00124908183046
-3.384,0.00130094216695
-3.372,0.00135476058106
-3.36,0.00141060225694
-3.348,0.00146853417844
-3.336,0.00152862516395
-3.324,0.00159094590123
-3.312,0.00165556898243
-3.3,0.00172256893905
-3.288,0.00179202227689
-3.276,0.00186400751103
-3.264,0.00193860520069
-3.252,0.00201589798405
-3.24,0.00209597061286
-3.228,0.00217890998697
-3.216,0.00226480518858
-3.204,0.0023537475163
-3.192,0.00244583051889
-3.18,0.00254115002873
-3.168,0.00263980419482
-3.156,0.0027418935155
-3.144,0.00284752087065
-3.132,0.00295679155336
-3.12,0.0030698133011
-3.108,0.00318669632633
-3.096,0.00330755334634
-3.084,0.00343249961253
-3.072,0.00356165293887
-3.06,0.00369513372956
-3.048,0.00383306500585
-3.036,0.00397557243196
-3.024,0.00412278433997
-3.012,0.0042748317538
-3,0.00443184841194
-2.988,0.00459397078919
-2.976,0.00476133811711
-2.964,0.00493409240319
-2.952,0.00511237844873
-2.94,0.00529634386531
-2.928,0.00548613908976
-2.916,0.00568191739765
-2.904,0.00588383491515
-2.892,0.00609205062927
-2.88,0.00630672639627
-2.868,0.00652802694839
-2.856,0.00675611989866
-2.844,0.0069911757437
-2.832,0.00723336786462
-2.82,0.00748287252578
-2.808,0.00773986887139
-2.796,0.00800453891991
-2.784,0.00827706755611
-2.772,0.00855764252083
-2.76,0.00884645439824
-2.748,0.00914369660058
-2.736,0.00944956535036
-2.724,0.00976425965991
-2.712,0.0100879813081
-2.7,0.0104209348144
-2.688,0.01076332741
-2.676,0.0111153690059
-2.664,0.0114772721582
-2.652,0.0118492520302
-2.64,0.0122315263513
-2.628,0.0126243153726
-2.616,0.0130278418197
-2.604,0.0134423308417
-2.592,0.0138680099566
-2.58,0.0143051089941
-2.568,0.0147538600341
-2.556,0.0152144973417
-2.544,0.0156872572988
-2.532,0.0161723783322
-2.52,0.0166701008374
-2.508,0.017180667099
-2.496,0.0177043212071
-2.484,0.01824130897
-2.472,0.0187918778227
-2.46,0.0193562767317
-2.448,0.0199347560957
-2.436,0.0205275676419
