x,V,rho
-20.04980469,0,0.00070315161772943
-20.03613281,0,0.0007242860328687
-20.02246094,0,0.00074599993527148
-20.00878906,0,0.00076830740188291
-19.99511719,0,0.00079122278314632
-19.98144531,0,0.00081476076799421
-19.96777344,0,0.00083893625594872
-19.95410156,0,0.0008637645475637
-19.94042969,0,0.00088926115707304
-19.92675781,0,0.00091544197197028
-19.91308594,0,0.0009423231760179
-19.89941406,0,0.00096992122592254
-19.88574219,0,0.00099825294243161
-19.87207031,0,0.0010273354594659
-19.85839844,0,0.0010571862598515
-19.84472656,0,0.001087823122945
-19.83105469,0,0.0011192641764679
-19.81738281,0,0.0011515279157912
-19.80371094,0,0.0011846331496938
-19.79003906,0,0.0012185990574295
-19.77636719,0,0.0012534451774307
-19.76269531,0,0.0012891913728732
-19.74902344,0,0.0013258579196061
-19.73535156,0,0.001363465425473
-19.72167969,0,0.0014020348657147
-19.70800781,0,0.0014415876293997
-19.69433594,0,0.0014821454490506
-19.68066406,0,0.0015237304564565
-19.66699219,0,0.0015663651650146
-19.65332031,0,0.0016100724988034
-19.63964844,0,0.0016548757638024
-19.62597656,0,0.0017007986503844
-19.61230469,0,0.0017478652843039
-19.59863281,0,0.0017961001732775
-19.58496094,0,0.001845528255407
-19.57128906,0,0.00189617487006
-19.55761719,0,0.0019480658090831
-19.54394531,0,0.0020012272640768
-19.53027344,0,0.0020556857885444
-19.51660156,0,0.0021114685134892
-19.50292969,0,0.0021686028615201
-19.48925781,0,0.0022271168057614
-19.47558594,0,0.0022870386556269
-19.46191406,0,0.0023483972511658
-19.44824219,0,0.0024112218157352
-19.43457031,0,0.0024755420780339
-19.42089844,0,0.0025413881732737
-19.40722656,0,0.0026087907507782
-19.39355469,0,0.0026777808762655
-19.37988281,0,0.0027483900212202
-19.36621094,0,0.0028206502705549
-19.35253906,0,0.0028945940677853
-19.33886719,0,0.0029702543085219
-19.32519531,0,0.0030476644554713
-19.31152344,0,0.00312685836524
-19.29785156,0,0.0032078704053743
-19.28417969,0,0.0032907354532436
-19.27050781,0,0.0033754887683379
-19.25683594,0,0.003462166191723
-19.24316406,0,0.0035508040133303
-19.22949219,0,0.0036414389866532
-19.21582031,0,0.0037341083687133
-19.20214844,0,0.0038288499326823
-19.18847656,0,0.0039257019150995
-19.17480469,0,0.0040247030025633
-19.16113281,0,0.0041258924283222
-19.14746094,0,0.0042293099276678
-19.13378906,0,0.0043349956632554
-19.12011719,0,0.0044429903619433
-19.10644531,0,0.0045533351765156
-19.09277344,0,0.0046660717524119
-19.07910156,0,0.0047812422834396
-19.06542969,0,0.0048988894255139
-19.05175781,0,0.0050190562841789
-19.03808594,0,0.0051417865769571
-19.02441406,0,0.005267124293045
-19.01074219,0,0.0053951141441044
-18.99707031,0,0.0055258010982652
-18.98339844,0,0.005659230878418
-18.96972656,0,0.0057954493835564
-18.95605469,0,0.0059345031849783
-18.94238281,0,0.006076439335608
-18.92871094,0,0.006221305219186
-18.91503906,0,0.0063691488418738
-18.90136719,0,0.0065200185743464
-18.88769531,0,0.0066739633064763
-18.87402344,0,0.0068310323265233
-18.86035156,0,0.0069912754358289
